DEBUG:asyncio:Using selector: EpollSelector
INFO:__main__:got 37 distinct urls from URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051')
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_29/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658673051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '运动健身'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_1/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658393051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '小说'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_33/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658404051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '养生保健'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_26/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658408051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '旅游与地图'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_36/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A2045366051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '进口原版'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_11/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658417051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '心理学'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_15/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658399051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '经济管理'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_16/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658397051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '励志与成功'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_34/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658433051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '体育'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_17/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658400051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '考试辅导'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_18/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658410051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '外语学习'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_31/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658406051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '家居手工休闲'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_9/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658424051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '哲学与宗教'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_32/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658402051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '娱乐'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_19/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A305884071&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '中小学教辅'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_4/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658395051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '艺术与摄影'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_30/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658411051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '恋爱与婚姻'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_27/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658407051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '烹饪美食与酒'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_8/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A118362071&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '社会科学'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_13/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658416051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '法律'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_12/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658418051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '历史'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_21/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658437051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '辞典与工具书'
DEBUG:__main__:response url: URL('https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=sa_menu_top_books_l1?ie=UTF8&node=658390051'), title: 'https://www.amazon.cn/s/ref=lp_658390051_nr_n_5/459-9284503-6693252?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658409051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051', url: '少儿'
INFO:__main__:got 18 distinct urls from URL('https://www.amazon.cn/s/ref=lp_658390051_nr_n_35/459-9284503-6693252?fst=as:off&rh=n:658390051,n:!658391051,n:658438051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051')
DEBUG:__main__:response url: URL('https://www.amazon.cn/s/ref=lp_658390051_nr_n_35/459-9284503-6693252?fst=as:off&rh=n:658390051,n:!658391051,n:658438051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051'), title: 'https://www.amazon.cn/s/ref=lp_658438051_nr_n_9?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658438051%2Cn%3A659211051&bbn=658438051&ie=UTF8&qid=1511711532&rnid=658438051', url: '汽车'
DEBUG:__main__:response url: URL('https://www.amazon.cn/s/ref=lp_658390051_nr_n_35/459-9284503-6693252?fst=as:off&rh=n:658390051,n:!658391051,n:658438051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051'), title: 'https://www.amazon.cn/s/ref=lp_658438051_nr_n_2?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658438051%2Cn%3A659203051&bbn=658438051&ie=UTF8&qid=1511711532&rnid=658438051', url: '健康体育'
DEBUG:__main__:response url: URL('https://www.amazon.cn/s/ref=lp_658390051_nr_n_35/459-9284503-6693252?fst=as:off&rh=n:658390051,n:!658391051,n:658438051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051'), title: 'https://www.amazon.cn/s/ref=lp_658438051_nr_n_7?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658438051%2Cn%3A659209051&bbn=658438051&ie=UTF8&qid=1511711532&rnid=658438051', url: '影视娱乐'
DEBUG:__main__:response url: URL('https://www.amazon.cn/s/ref=lp_658390051_nr_n_35/459-9284503-6693252?fst=as:off&rh=n:658390051,n:!658391051,n:658438051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051'), title: 'https://www.amazon.cn/s/ref=lp_658438051_nr_n_17?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658438051%2Cn%3A659218051&bbn=658438051&ie=UTF8&qid=1511711532&rnid=658438051', url: '语言与教学'
DEBUG:__main__:response url: URL('https://www.amazon.cn/s/ref=lp_658390051_nr_n_35/459-9284503-6693252?fst=as:off&rh=n:658390051,n:!658391051,n:658438051&bbn=658391051&ie=UTF8&qid=1511711530&rnid=658391051'), title: 'https://www.amazon.cn/s/ref=lp_658438051_nr_n_8?fst=as%3Aoff&rh=n%3A658390051%2Cn%3A%21658391051%2Cn%3A658438051%2Cn%3A659210051&bbn=658438051&ie=UTF8&qid=1511711532&rnid=658438051', url: '旅游'
